SRX021040	SRR834526
SRX155996	SRR834509
SRX155997	SRR834512
SRX025317	SRR834541
SRX021235	SRR835025
SRX021255	SRR835027
SRX155989	SRR835034
SRX021267	SRR835037
SRX021296	SRR933581
SRX021384	SRR835087
SRX023456	SRR835058
SRX156026	SRR833244
SRX021008	SRR932121
SRX020759	SRR834551
SRX021026	SRR834547
SRX020912	SRR933563
SRX155979	SRR834523
SRX155994	SRR834527
SRX021053	SRR834531
SRX021082	SRR834507
SRX155981	SRR834508
SRX021063	SRR834510
SRX021094	SRR834511
SRX021095	SRR933569
SRX156029	SRR834514
SRX021101	SRR834516
SRX156027	SRR834517
SRX156028	SRR834545
SRX023833	SRR834537
SRX023424	SRR834546
SRX155984	SRR834553
SRX021104	SRR834539
SRX023834	SRR834543
SRX021112	SRR933573
SRX156013	SRR834552
SRX021113	SRR834554
SRX156014	SRR834519
SRX021157	SRR834520
SRX156015	SRR834521
SRX156017	SRR834522
SRX021242	SRR835023
SRX021254	SRR835024
SRX021245	SRR835026
SRX006155	SRR933577
SRX021244	SRR835028
SRX021246	SRR835029
SRX023835	SRR835030
SRX021260	SRR835031
SRX021262	SRR835033
SRX021268	SRR835035
SRX021270	SRR835036
SRX021271	SRR835038
SRX156002	SRR835039
SRX021272	SRR835040
SRX021273	SRR835041
SRX021282	SRR835042
SRX155985	SRR835043
SRX156031	SRR835044
SRX021290	SRR835045
SRX021293	SRR835046
SRX156034	SRR835047
SRX006159	SRR933580
SRX156032	SRR835048
SRX156033	SRR835050
SRX156004	SRR835096
SRX155988	SRR835097
SRX156003	SRR835098
SRX156018	SRR835086
SRX006162	SRR933585
SRX006163	SRR933586
SRX006164	SRR933587
SRX021382	SRR933589
SRX006167	SRR933591
SRX023451	SRR933592
SRX021383	SRR933593
SRX021385	SRR933594
SRX021386	SRR835088
SRX021387	SRR835089
SRX021388	SRR835091
SRX021389	SRR835092
SRX021400	SRR835095
SRX021418	SRR835051
SRX021419	SRR835052
SRX156006	SRR835054
SRX021476	SRR835055
SRX021479	SRR933599
SRX156036	SRR835059
SRX156035	SRR835060
SRX155993	SRR835061
SRX021563	SRR835062
SRX021492	SRR835063
SRX021496	SRR835067
SRX021527	SRR835069
SRX021499	SRR835071
SRX023838	SRR835072
SRX021528	SRR835073
SRX023457	SRR933601
SRX021500	SRR835074
SRX021501	SRR835075
SRX156024	SRR835077
